ABC,3.09,3.1,50580.0,25056.0
ABC,3.09,3.1,50580.0,25056.0
ABC,3.09,3.1,50580.0,25056.0
ABC,3.09,3.1,50580.0,25056.0
ABC,3.09,3.1,50580.0,25056.0
ABC,3.09,3.1,50580.0,25056.0
ABC,3.09,3.1,50580.0,25056.0
ABC,3.09,3.1,50580.0,25056.0
ABC,3.09,3.1,50580.0,25056.0
ABC,3.09,3.1,50580.0,25056.0
ABC,3.09,3.1,50580.0,25056.0
ABC,3.09,3.1,50580.0,25056.0
ABC,3.09,3.1,50580.0,25056.0
ABC,3.09,3.1,50580.0,25056.0
ABC,3.09,3.1,50580.0,25056.0
ABC,3.09,3.1,50580.0,25056.0
ABC,3.09,3.1,50580.0,25056.0
ABC,3.09,3.1,50580.0,25056.0
ABC,3.09,3.1,50580.0,25056.0
ABC,3.09,3.1,50580.0,25056.0
ABC,3.09,3.1,50580.0,25056.0
ABC,3.09,3.1,50580.0,25056.0
ABC,3.09,3.1,50580.0,25056.0
ABC,3.09,3.1,50580.0,25056.0
ABC,3.09,3.1,50580.0,25056.0
ABC,3.09,3.1,50580.0,25056.0
ABC,3.09,3.1,50580.0,25056.0
ABC,3.09,3.1,50580.0,25056.0
ABC,3.09,3.1,50580.0,25056.0
ABC,3.09,3.1,50580.0,25056.0
ABC,3.09,3.1,50580.0,25056.0
ABC,3.09,3.1,50580.0,25056.0
ABC,3.09,3.1,50580.0,25056.0
ABC,3.09,3.1,50580.0,25056.0
ABC,3.09,3.1,50580.0,25056.0
ABC,3.09,3.1,50580.0,25056.0
ABC,3.09,3.1,50580.0,25056.0
ABC,3.09,3.1,50580.0,25056.0
ABC,3.09,3.1,50580.0,25056.0
ABC,3.09,3.1,50580.0,25056.0
ABC,3.09,3.1,50580.0,25056.0
ABP,1.98,1.99,3174.0,1540.0
ABP,1.98,1.99,3174.0,1540.0
ABP,1.98,1.99,3174.0,1540.0
ABP,1.98,1.99,3174.0,1540.0
ABP,1.98,1.99,3174.0,1540.0
ABP,1.98,1.99,3174.0,1540.0
ABP,1.98,1.99,3174.0,1540.0
ABP,1.98,1.99,3174.0,1540.0
ABP,1.98,1.99,3174.0,1540.0
ABP,1.98,1.99,3174.0,1540.0
ABP,1.98,1.99,3174.0,1540.0
ABP,1.98,1.99,3174.0,1540.0
ABP,1.98,1.99,3174.0,1540.0
ABP,1.98,1.99,3174.0,1540.0
ABP,1.98,1.99,3174.0,1540.0
ABP,1.98,1.99,3174.0,1540.0
ABP,1.98,1.99,3174.0,1540.0
ABP,1.98,1.99,3174.0,1540.0
ABP,1.98,1.99,3174.0,1540.0
ABP,1.98,1.99,3174.0,1540.0
ABP,1.98,1.99,3174.0,1540.0
ABP,1.98,1.99,3174.0,1540.0
ABP,1.98,1.99,3174.0,1540.0
ABP,1.98,1.99,3174.0,1540.0
ABP,1.98,1.99,3174.0,1540.0
ABP,1.98,1.99,3174.0,1540.0
ABP,1.98,1.99,3174.0,1540.0
ABP,1.98,1.99,3174.0,1540.0
ABP,1.98,1.99,3174.0,1540.0
ABP,1.98,1.99,3174.0,1540.0
ABP,1.98,1.99,3174.0,1540.0
ABP,1.98,1.99,3174.0,1540.0
ABP,1.98,1.99,3174.0,1540.0
ABP,1.98,1.99,3174.0,1540.0
ABP,1.98,1.99,3174.0,1540.0
ABP,1.98,1.99,3174.0,1540.0
ABP,1.98,1.99,3174.0,1540.0
ABP,1.98,1.99,3174.0,1540.0
ABP,1.98,1.99,3174.0,1540.0
ABP,1.98,1.99,3174.0,1540.0
ABP,1.98,1.99,3174.0,1540.0
ABP,1.98,1.99,3174.0,1540.0
ABP,1.98,1.99,3174.0,1540.0
ABP,1.98,1.99,3174.0,1540.0
ABP,1.98,1.99,3174.0,1540.0
ABP,1.98,1.99,3174.0,1540.0
ABP,1.98,1.99,3174.0,1540.0
AMU,0.215,0.215,36015.0,62791.0
AMU,0.215,0.215,36015.0,62791.0
AMU,0.215,0.215,36015.0,62791.0
AMU,0.215,0.215,36015.0,62791.0
ALL,2.58,2.59,4683.0,50646.0
ALL,2.58,2.59,4683.0,50646.0
ALL,2.58,2.59,4683.0,50646.0
ALL,2.58,2.59,4683.0,50646.0
ALL,2.58,2.59,4683.0,50646.0
ALL,2.58,2.59,4683.0,50646.0
ALL,2.58,2.59,4683.0,50646.0
ALL,2.58,2.59,4683.0,50646.0
ALL,2.58,2.59,4683.0,50646.0
ALL,2.58,2.59,4683.0,50646.0
ALL,2.58,2.59,4683.0,50646.0
ALL,2.58,2.59,4683.0,50646.0
ALL,2.58,2.59,4683.0,50646.0
ALL,2.58,2.59,4683.0,50646.0
ALL,2.58,2.59,4683.0,50646.0
ALL,2.58,2.59,4683.0,50646.0
ALL,2.58,2.59,4683.0,50646.0
ALL,2.58,2.59,4683.0,50646.0
ALL,2.58,2.59,4683.0,50646.0
ALL,2.58,2.59,4683.0,50646.0
ALL,2.58,2.59,4683.0,50646.0
ALL,2.58,2.59,4683.0,50646.0
ALL,2.58,2.59,4683.0,50646.0
ALL,2.58,2.59,4683.0,50646.0
ALL,2.58,2.59,4683.0,50646.0
ALL,2.58,2.59,4683.0,50646.0
ALL,2.58,2.59,4683.0,50646.0
ALL,2.58,2.59,4683.0,50646.0
ALL,2.58,2.59,4683.0,50646.0
ALL,2.58,2.59,4683.0,50646.0
ALL,2.58,2.59,4683.0,50646.0
ALL,2.58,2.59,4683.0,50646.0
ALL,2.58,2.59,4683.0,50646.0
ALL,2.58,2.59,4683.0,50646.0
ALL,2.58,2.59,4683.0,50646.0
