Wed Jan 05 10:09:19 GMT+10:00 2011,VBA,B,0.425,1665736.0
Wed Jan 05 10:09:20 GMT+10:00 2011,VBA,A,0.43,467599.0
Wed Jan 05 10:09:20 GMT+10:00 2011,VBA,A,0.43,464159.0
Wed Jan 05 10:09:28 GMT+10:00 2011,VBA,B,0.425,1665733.0
Wed Jan 05 10:09:28 GMT+10:00 2011,VBA,B,0.425,1665762.0
Wed Jan 05 10:09:38 GMT+10:00 2011,VBA,B,0.425,1665733.0
Wed Jan 05 10:09:38 GMT+10:00 2011,VBA,B,0.425,1665790.0
Wed Jan 05 10:09:58 GMT+10:00 2011,VBA,B,0.425,1665733.0
Wed Jan 05 10:09:58 GMT+10:00 2011,VBA,B,0.425,1665846.0
Wed Jan 05 10:10:09 GMT+10:00 2011,VBA,B,0.425,1665733.0
Wed Jan 05 10:10:09 GMT+10:00 2011,VBA,B,0.425,1665875.0
Wed Jan 05 10:10:10 GMT+10:00 2011,VBA,A,0.43,484159.0
Wed Jan 05 10:10:38 GMT+10:00 2011,VBA,B,0.425,1665733.0
Wed Jan 05 10:10:38 GMT+10:00 2011,VBA,B,0.425,1665957.0
Wed Jan 05 10:10:57 GMT+10:00 2011,VBA,A,0.43,584159.0
Wed Jan 05 10:10:57 GMT+10:00 2011,VBA,B,0.425,1665733.0
Wed Jan 05 10:10:57 GMT+10:00 2011,VBA,B,0.425,1666013.0
Wed Jan 05 10:11:01 GMT+10:00 2011,VBA,B,0.425,1669733.0
Wed Jan 05 10:11:02 GMT+10:00 2011,VBA,B,0.425,1669453.0
Wed Jan 05 10:11:02 GMT+10:00 2011,VBA,B,0.425,1669746.0
Wed Jan 05 10:11:10 GMT+10:00 2011,VBA,B,0.425,1669453.0
Wed Jan 05 10:11:10 GMT+10:00 2011,VBA,B,0.425,1669771.0
Wed Jan 05 10:11:13 GMT+10:00 2011,VBA,A,0.43,588439.0
Wed Jan 05 10:11:14 GMT+10:00 2011,VBA,B,0.425,1669453.0
Wed Jan 05 10:11:14 GMT+10:00 2011,VBA,B,0.425,1669781.0
Wed Jan 05 10:11:14 GMT+10:00 2011,VBA,B,0.425,1669036.0
Wed Jan 05 10:11:14 GMT+10:00 2011,VBA,B,0.425,1663781.0
Wed Jan 05 10:11:32 GMT+10:00 2011,VBA,A,0.43,598055.0
Wed Jan 05 10:11:32 GMT+10:00 2011,VBA,B,0.425,1663453.0
Wed Jan 05 10:11:32 GMT+10:00 2011,VBA,B,0.425,1663836.0
Wed Jan 05 10:11:39 GMT+10:00 2011,VBA,A,0.43,608055.0
Wed Jan 05 10:11:39 GMT+10:00 2011,VBA,B,0.425,1663453.0
Wed Jan 05 10:11:39 GMT+10:00 2011,VBA,B,0.425,1663847.0
Wed Jan 05 10:11:42 GMT+10:00 2011,VBA,B,0.425,1663453.0
Wed Jan 05 10:11:42 GMT+10:00 2011,VBA,B,0.425,1663858.0
Wed Jan 05 10:11:48 GMT+10:00 2011,VBA,B,0.425,1663453.0
Wed Jan 05 10:11:48 GMT+10:00 2011,VBA,B,0.425,1663880.0
Wed Jan 05 10:11:54 GMT+10:00 2011,VBA,A,0.43,583055.0
Wed Jan 05 10:11:54 GMT+10:00 2011,VBA,B,0.425,1663453.0
Wed Jan 05 10:11:54 GMT+10:00 2011,VBA,B,0.425,1663220.0
Wed Jan 05 10:11:54 GMT+10:00 2011,VBA,A,0.43,582373.0
Wed Jan 05 10:12:09 GMT+10:00 2011,VBA,B,0.425,1663253.0
Wed Jan 05 10:12:09 GMT+10:00 2011,VBA,B,0.425,1660023.0
Wed Jan 05 10:12:09 GMT+10:00 2011,VBA,B,0.425,1660034.0
Wed Jan 05 10:12:56 GMT+10:00 2011,VBA,A,0.43,598334.0
Wed Jan 05 10:12:56 GMT+10:00 2011,VBA,B,0.425,1660023.0
Wed Jan 05 10:12:56 GMT+10:00 2011,VBA,B,0.425,1660177.0
Wed Jan 05 10:13:10 GMT+10:00 2011,VBA,A,0.43,642834.0
Wed Jan 05 10:13:10 GMT+10:00 2011,VBA,B,0.425,1660023.0
Wed Jan 05 10:13:10 GMT+10:00 2011,VBA,B,0.425,1660221.0
Wed Jan 05 10:13:18 GMT+10:00 2011,VBA,B,0.425,1660561.0
Wed Jan 05 10:13:19 GMT+10:00 2011,VBA,B,0.425,1660363.0
Wed Jan 05 10:13:19 GMT+10:00 2011,VBA,B,0.425,1660594.0
Wed Jan 05 10:14:59 GMT+10:00 2011,VBA,A,0.43,644356.0
Wed Jan 05 10:14:59 GMT+10:00 2011,VBA,B,0.425,1660363.0
Wed Jan 05 10:14:59 GMT+10:00 2011,VBA,B,0.425,1660924.0
Wed Jan 05 10:15:16 GMT+10:00 2011,VBA,A,0.43,599856.0
Wed Jan 05 10:15:16 GMT+10:00 2011,VBA,B,0.425,1658409.0
Wed Jan 05 10:15:16 GMT+10:00 2011,VBA,B,0.425,1646409.0
Wed Jan 05 10:15:16 GMT+10:00 2011,VBA,B,0.425,1634692.0
Wed Jan 05 10:15:16 GMT+10:00 2011,VBA,B,0.425,1616424.0
Wed Jan 05 10:15:16 GMT+10:00 2011,VBA,B,0.425,1615863.0
Wed Jan 05 10:15:16 GMT+10:00 2011,VBA,B,0.425,1616479.0
Wed Jan 05 10:15:28 GMT+10:00 2011,VBA,A,0.43,620022.0
Wed Jan 05 10:15:30 GMT+10:00 2011,VBA,B,0.425,1615863.0
Wed Jan 05 10:15:30 GMT+10:00 2011,VBA,B,0.425,1616523.0
Wed Jan 05 10:15:57 GMT+10:00 2011,VBA,A,0.43,708607.0
Wed Jan 05 10:15:58 GMT+10:00 2011,VBA,B,0.425,1616303.0
Wed Jan 05 10:16:01 GMT+10:00 2011,VBA,A,0.43,708297.0
Wed Jan 05 10:16:04 GMT+10:00 2011,VBA,B,0.425,1615863.0
Wed Jan 05 10:16:04 GMT+10:00 2011,VBA,B,0.425,1616325.0
Wed Jan 05 10:16:41 GMT+10:00 2011,VBA,B,0.425,1615863.0
Wed Jan 05 10:16:41 GMT+10:00 2011,VBA,B,0.425,1616457.0
Wed Jan 05 10:16:56 GMT+10:00 2011,VBA,A,0.43,692336.0
Wed Jan 05 10:16:56 GMT+10:00 2011,VBA,B,0.425,1615863.0
Wed Jan 05 10:16:56 GMT+10:00 2011,VBA,B,0.425,1616512.0
Wed Jan 05 10:17:03 GMT+10:00 2011,VBA,B,0.425,1610513.0
Wed Jan 05 10:17:03 GMT+10:00 2011,VBA,B,0.425,1610512.0
Wed Jan 05 10:17:03 GMT+10:00 2011,VBA,B,0.425,1606512.0
Wed Jan 05 10:17:03 GMT+10:00 2011,VBA,B,0.425,1606314.0
Wed Jan 05 10:17:04 GMT+10:00 2011,VBA,A,0.43,692108.0
Wed Jan 05 10:17:07 GMT+10:00 2011,VBA,B,0.425,1629784.0
Wed Jan 05 10:17:08 GMT+10:00 2011,VBA,B,0.425,1629333.0
Wed Jan 05 10:17:08 GMT+10:00 2011,VBA,B,0.425,1629795.0
Wed Jan 05 10:18:21 GMT+10:00 2011,VBA,B,0.425,1629455.0
Wed Jan 05 10:18:21 GMT+10:00 2011,VBA,A,0.43,692088.0
Wed Jan 05 10:18:21 GMT+10:00 2011,VBA,B,0.425,1629444.0
Wed Jan 05 10:18:21 GMT+10:00 2011,VBA,A,0.43,691818.0
Wed Jan 05 10:18:21 GMT+10:00 2011,VBA,A,0.43,676554.0
Wed Jan 05 10:18:38 GMT+10:00 2011,VBA,B,0.425,1628993.0
Wed Jan 05 10:18:38 GMT+10:00 2011,VBA,B,0.425,1629510.0
Wed Jan 05 10:19:01 GMT+10:00 2011,VBA,A,0.43,691543.0
Wed Jan 05 10:19:02 GMT+10:00 2011,VBA,B,0.425,1628993.0
Wed Jan 05 10:19:02 GMT+10:00 2011,VBA,B,0.425,1629587.0
