BLT.L,SET0
RIO.L,SET0
HSBA.L,SET0
VOD.L,SET0
BP..L,SET0
XTA.L,SET0
BARC.L,SET0
AAL.L,SET0
GSK.L,SET0
RB..L,SET1
RDSB.L,SET0
AZN.L,SET0
TSCO.L,SET0
BATS.L,SET0
LLOY.L,SET0
STAN.L,SET0
BG..L,SET0
RDSA.L,SET0
ULVR.L,SET1
DGE.L,SET1
IMT.L,SET1
CNA.L,SET1
WPP.L,SET1
AV..L,SET1
SAB.L,SET0
PRU.L,SET1
NG..L,SET1
ANTO.L,SET1
SHP.L,SET1
BT.A.L,SET1
MKS.L,SET1
RBS.L,SET1
TLW.L,SET1
NXT.L,SET1
VED.L,SET1
SN..L,SET1
SSE.L,SET1
RR..L,SET1
CPG.L,SET1
ARM.L,SET1
KAZ.L,SET1
BSY.L,SET1
CCL.L,SET1
MRW.L,SET1
REL.L,SET1
PSON.L,SET1
WOS.L,SET1
OML.L,SET1
KGF.L,SET1
SBRY.L,SET1
LGEN.L,SET1
BLND.L,SET1
EMG.L,SET1
RRS.L,SET1
BRBY.L,SET1
ITV.L,SET1
AU..L,SET1
CNE.L,SET1
GKN.L,SET1
IPR.L,SET1
HOME.L,STMM
ENRC.L,SET1
LAND.L,SET1
WEIR.L,SET1
RSL.L,SET1
RSA.L,SET1
EXPN.L,SET1
IHG.L,SET1
PFC.L,SET1
SMIN.L,SET1
UU..L,SET1
WTB.L,SET1
WG..L,SET1
ABF.L,SET1
GFS.L,SET1
HMSO.L,SET1
IAP.L,SET1
AMEC.L,SET1
FRES.L,SET1
JMAT.L,SET1
CPI.L,SET1
SL..L,SET1
POG.L,STMM
PTEC.L,AMSM
III.L,SET1
IMI.L,SET1
ISYS.L,STMM
REX.L,SET1
DRX.L,STMM
SVT.L,SET1
SRP.L,SET1
MCRO.L,STMM
SGE.L,SET1
MGGT.L,STMM
GKP.L,AMSM
CKSN.L,STMM
FGP.L,STMM
LMI.L,SET1
LOG.L,STMM
PER.L,STMM
SGRO.L,STMM
TT..L,STMM
PSN.L,STMM
ITRK.L,SET1
BNZL.L,STMM
PMO.L,STMM
TW..L,STMM
WMH.L,STMM
TCG.L,STMM
SDR.L,SET1
UBM.L,STMM
LSE.L,STMM
IGG.L,STMM
TATE.L,SET1
TPK.L,STMM
AML.L,STMM
BLVN.L,AMSM
COB.L,STMM
LAD.L,STMM
INCH.L,STMM
INVP.L,SET1
CRDA.L,STMM
CSCG.L,SET1
RKH.L,AMSM
BLNX.L,AMSM
FXPO.L,STMM
NWG.L,STMM
BVIC.L,STMM
EZJ.L,STMM
MSY.L,STMM
ATST.L,STMM
PNN.L,STMM
MPI.L,STMM
FLTR.L,STMM
ASHM.L,STMM
HFD.L,STMM
CLLN.L,STMM
ADN.L,STMM
HOIL.L,STMM
BAB.L,STMM
RTO.L,STMM
SGC.L,STMM
MNDI.L,STMM
BDEV.L,STMM
NEX.L,STMM
CHAR.L,AMSM
INF.L,STMM
PFG.L,STMM
DXNS.L,STMM
CHTR.L,STMM
KESA.L,STMM
DEB.L,STMM
ESSR.L,SET1
CHG.L,STMM
DOM.L,STMM
SXS.L,STMM
CWC.L,STMM
SMWH.L,STMM
LOND.L,SSMU
AHT.L,STMM
MGCR.L,STMM
PFL.L,STMM
EO..L,AMSM
FPT.L,SET3
RMV.L,STMM
ICP.L,STMM
MAB.L,STMM
DLN.L,STMM
GPOR.L,STMM
PFD.L,STMM
SGP.L,STMM
KAH.L,AMSM
ROR.L,STMM
CIU.L,SET3
ENQ.L,STMM
SMDS.L,STMM
GNK.L,STMM
ECM.L,STMM
YULC.L,STMM
IMG.L,STMM
CSR.L,STMM
SOLO.L,AIM
SIA.L,STMM
BRWM.L,STMM
TCY.L,STMM
AVM.L,SSMU
HIK.L,STMM
SMT.L,STMM
TEM.L,STMM
CZA.L,AMSM
CHU.L,SET3
SPX.L,STMM
PDL.L,AMSM
GPX.L,AMSM
HWDN.L,STMM
BBA.L,STMM
BOY.L,STMM
JLT.L,STMM
DLAR.L,STMM
IPF.L,STMM
BWY.L,STMM
MLC.L,STMM
NPE.L,AMSM
MTO.L,STMM
DES.L,AMSM
HTG.L,STMM
CDN.L,AMSM
PCI.L,AMSM
SOU.L,AIM
HLMA.L,STMM
SHI.L,STMM
FRCL.L,STMM
TLPR.L,STMM
AUL.L,AMSM
CPW.L,SSMU
HSV.L,STMM
FENR.L,STMM
SHB.L,STMM
HSTN.L,STMM
RSW.L,STMM
STOB.L,STMM
IQE.L,AMSM
MTC.L,STMM
AVV.L,STMM
DNLM.L,STMM
ULE.L,STMM
AVN.L,AMSM
SNR.L,STMM
BZM.L,AMSM
RTN.L,STMM
OCDO.L,STMM
BVS.L,STMM
RPC.L,STMM
EDIN.L,STMM
ELM.L,STMM
SMDR.L,STMM
RGU.L,STMM
MUL.L,AMSM
JUP.L,STMM
RCP.L,STMM
ETI.L,STMM
JDW.L,STMM
MXP.L,AMSM
VPP.L,AMSM
LAM.L,STMM
MATD.L,AIM
GOG.L,STMM
APF.L,STMM
PUB.L,SSMM
DAB.L,STMM
FEV.L,STMM
BRSN.L,STMM
JESC.L,STMM
NTG.L,STMM
BABS.L,STMM
LSP.L,STMM
HICL.L,STMM
SPT.L,STMM
MCHL.L,SSMM
IRV.L,SSMM
GRI.L,STMM
MONY.L,STMM
BGC.L,STMM
MARS.L,STMM
BHMG.L,STMM
INPP.L,STMM
BAO.L,AIM
SVI.L,STMM
PIC.L,STMM
TALK.L,STMM
SBLM.L,AMSM
MYI.L,STMM
VGAS.L,AMSM
IAE.L,AMSM
AGLD.L,AIM
HGM.L,AMSM
GRG.L,STMM
GMG.L,SSMM
JKX.L,STMM
DVO.L,STMM
PTR.L,ASQ1
ITE.L,STMM
SPD.L,STMM
TNO.L,SSMM
PZC.L,STMM
FCSS.L,STMM
BHGG.L,STMM
